id,specific_event,abstract_event,trigger
3011,安得拉邦首席部长雷迪爆炸,紧急情况,爆炸
3012,商讨目前局势和应对措施,操作,商讨
3013,他前往鲁比尼公园爆炸现场,移动,前往
3014,目前首席部长宣布,声明,宣布
3015,警方封锁城市的各个出口,操作,封锁
3016,并在机场火车站汽车站盘查,操作,盘查
3017,当地的影院商场取消活动,状态变化,取消
3018,并开始设置安检装置,操作,设置
3019,2002年10月13日夜晚印尼旅游胜地巴厘岛爆炸,紧急情况,爆炸
3020,202人丧生,状态变化,丧生
3021,印尼警察总监巴赫蒂亚尔称,声明,称
3022,中新网10月13日电,声明,电
3023,有关官员表示,声明,表示
3024,周六晚上巴厘岛爆炸,紧急情况,爆炸
3025,与此同时警察救援人员受伤者和遇难者抬离现场,动作,抬离
3026,其中一些伤者呻吟,动作,呻吟
3027,预计还有一些伤者埋废墟,动作,埋
3028,巴厘岛警方发言人亚蒂姆-苏亚特姆表示,声明,表示
3029,一位当地的摄影师表示,声明,表示
3030,发生爆炸的夜总会的玻璃炸比较远的地方,动作,炸
3031,还导致附近15辆汽车被毁,状态变化,被毁
3032,整个夜总会夷为平地,状态变化,夷为平地
3033,一位不愿透露姓名的警方官员表示,声明,表示
3034,现在很难辨认身份,感知,辨认
3035,因为他们的遗体炸,动作,炸
3036,上述那位摄影师表示,声明,表示
3037,本来我这些镜头拍,动作,拍
3038,我见过死伤现场,感知,见过
3039,他进入夜总会,移动,进入
3040,另一名游客表示,声明,表示
3041,很多被吓坏了的游客进入酒店房间,移动,进入
3042,选择在户外或是海滩上睡觉,动作,睡觉
3043,很多人飞机返家,移动,返家
3044,2月6日上午8时40分左右俄罗斯首都莫斯科第二节车厢爆炸,紧急情况,爆炸
3045,造成大约50人死亡,状态变化,死亡
3046,130多人受伤,状态变化,受伤
3047,俄罗斯政府宣布,声明,宣布
3048,"时隔半年,8月31日晚8时15分左右一名女性自杀爆炸袭击者莫斯科里加地铁站附近引爆炸弹",操作,引爆
3049,导致至少10人死亡,状态变化,死亡
3050,10月7日晚10时埃及红海旅游胜地西奈半岛3起爆炸,紧急情况,3起爆炸
3051,至少造成35名以色列游客死亡,状态变化,死亡
3052,160多人受伤,状态变化,受伤
3053,距埃以塔巴边界检查站仅200米远的埃及塔巴希尔顿饭店爆炸,紧急情况,爆炸
3054,另外两起爆炸希塔尼角苏尔坦角,紧急情况,两起爆炸
3055,许多以色列人西奈半岛度假,动作,度假
3056,埃及安全部门10月25日宣布,声明,宣布
3057,这个名叫伊亚德・赛义德・萨拉赫苏莱曼・艾哈迈德・萨利赫实施爆炸,操作,实施
3058,由于汽车炸弹爆炸,紧急情况,爆炸
3059,9月18日索马里过渡政府所在地索南部城市拜多阿的议会大楼前汽车炸弹爆炸,紧急情况,汽车炸弹爆炸
3060,至少6人死亡,状态变化,死亡
3061,当优素福的车队行驶议会大厦门口,移动,行驶
3062,一辆装有炸药的汽车总统车队附近爆炸,紧急情况,爆炸
3063,至少有6人死亡,状态变化,死亡
3064,还造成多人受伤,状态变化,受伤
3065,爆炸引发的火球冲入,移动,冲入
3066,周围多辆汽车毁,状态变化,毁
3067,议会大楼附近第二起爆炸,紧急情况,第二起爆炸
3068,索马里过渡政府发言人迪纳里当天说,声明,说
3069,索马里过渡政府外长伊斯梅尔・胡雷・布巴说,声明,说
3070,汽车炸弹遥控器引爆,操作,引爆
3071,11月9日晚约旦首都安曼三家酒店自杀式爆炸袭击,紧急情况,自杀式爆炸袭击
3072,造成57人死亡,状态变化,死亡
3073,300多人受伤,状态变化,受伤
3074,正在安曼访问中国国防大学学员代表团,动作,访问
3075,3月2日什叶派穆斯林云集卡尔巴拉巴格达,移动,云集
3076,上午10时许卡尔巴拉和巴格达两地自杀性爆炸袭击,紧急情况,自杀性爆炸袭击
3077,共造成271人丧生,状态变化,丧生
3078,600多人受伤,状态变化,受伤
3079,驻伊拉克的美军锁定扎卡维,动作,锁定
3080,1日晚一伙歹徒械昆明火车站砍杀路人,动作,砍杀
3081,截至2日零时许27人死亡,状态变化,死亡
3082,一百多人受伤,状态变化,受伤
3083,中共中央总书记、国家主席习近平李克强委派,操作,委派
3084,中央政治局委员、中央政法委书记孟建柱3月2日凌晨赴云南昆明,移动,赴
3085,3月1日晚昆明火车站恐怖袭击,紧急情况,恐怖袭击
3086,并慰问受伤群众受害者家属,感知,慰问
3087,2006年7月11日晚印度经济首都孟买爆炸,紧急情况,爆炸
3088,目前至少200人死亡,状态变化,死亡
3089,另有625人受伤,状态变化,受伤
3090,新华网联合国3月18日电,声明,电
3091,联合国安理会18日媒体声明,声明,声明
3092,以最强烈的言辞谴责,声明,谴责
3093,当天阿富汗法里亚布省恐怖袭击,紧急情况,恐怖袭击
3094,要求将制造袭击者绳之以法,操作,绳之以法
3095,"任何恐怖主义行动逆转阿富汗人主导的,在阿富汗实现和平、民主和稳定的道路",操作,逆转
3096,这一道路阿富汗人民、政府及国际社会支持,操作,支持
3097,阿富汗北部法里亚布省18日自杀式爆炸袭击,紧急情况,爆炸袭击
3098,造成15名平民死亡,状态变化,死亡
3099,目前组织和个人宣称,声明,宣称
3100,人民网4月8日讯,声明,讯
3101,俄罗斯联邦安全局局长博尔特尼科夫日前表示,声明,表示
3102,俄安全局2014年第一季度阻止恐怖袭击19起,动作,阻止
3103,博尔特尼科夫指出,声明,指出
3104,俄一季度缴获爆炸装置79个炸药250多公斤500多支武器,动作,缴获
3105,造成202人丧生,状态变化,丧生
3106,今天早上昆明公共汽车爆炸,紧急情况,爆炸
3107,今天下午公安部派一个刑侦专家组,操作,派
3108,2003年8月19日联合国驻伊拉克办事处袭击,紧急情况,袭击
3109,造成至少24人死亡,状态变化,死亡
3110,100多人受伤,状态变化,受伤
3111,一周后通过第1502号决议,动作,通过
3112,经过救援人员彻夜工作,操作,工作
3113,联合国驻伊拉克办事处遭汽车炸弹袭击现场的搜救工作20日上午停止,状态变化,停止
3114,新华社记者现场看到,感知,看到
3115,铲车等工程机械进入现场,移动,进入
3116,并开始对废墟清理,操作,清理
3117,救援人员记者说,声明,说
3118,一位联合国高级官员说,声明,说
3119,美国调查人员抵达现场,移动,抵达
3120,并开始寻找破案线索,操作,寻找
3121,伊拉克临时管理委员会20日巴格达说,声明,说
3122,爆炸事件外国恐怖分子制造,操作,制造
3123,伊拉克人民恐怖分子斗争,操作,斗争
3124,伊拉克20日袭击驻伊美军,紧急情况,袭击
3125,美军第四步兵师一名发言人说,声明,说
3126,美军车队当天克里特地区袭击,紧急情况,袭击
3127,一名随军工程承包商死亡,状态变化,死亡
3128,两名士兵受伤,状态变化,受伤
3129,但是这名发言人透露,声明,透露
3130,中国网4月11日讯,声明,讯
3131,俄联邦安全局局长博尔特尼科夫周四(4月10日)表示,声明,表示
3132,俄安全局和一些列其它国家制止索契奥运设施恐怖袭击,操作,制止
3133,使用自杀式炸弹爆炸,紧急情况,爆炸
3134,博尔特尼科夫表示,声明,表示
3135,冬奥会期间飞往索契航班,移动,飞往
3136,所有才不允许携带液体,动作,携带
3137,因为恐怖分子使用特别液体,动作,使用
3138,博尔特尼科夫昨日称,声明,称
3139,制止恐怖袭击,动作,制止
3140,没有明确具体细节,声明,明确
3141,2002年12月2日哈特考帕火车站外一辆公共汽车爆炸,紧急情况,爆炸
3142,公共汽车尾部受损,状态变化,受损
3143,警方逮捕6人,操作,逮捕
3144,西班牙民族分裂组织“埃塔”3日首都马德里5个加油站5起爆炸,紧急情况,5起爆炸
3145,造成2人轻伤,状态变化,轻伤
3146,据西班牙内政部透露,声明,透露
3147,当天下午5时30分一匿名人士电话《加拉报》,动作,电话
3148,当天下午6时30分马德里5个加油站爆炸,紧急情况,爆炸
3149,西班牙警方加油站的人员转移安全地区,移动,转移
3150,大约6时30分5个加油站爆炸,紧急情况,爆炸
3151,这些炸弹安放加油站,动作,安放
3152,马德里大区政府当天呼吁,声明,呼吁
3153,全城所有警备装置和人员出动,动作,出动
3154,今年8月以来“埃塔”组织西班牙北部地区爆炸,紧急情况,爆炸
3155,并造成一些人受伤,状态变化,受伤
3156,6月1日阿富汗坎大哈市内的一座清真寺爆炸,紧急情况,爆炸
3157,至少40人死亡,状态变化,死亡
3158,另有60人受伤,状态变化,受伤
3159,"在“9・11”事件周年即将来临之际,阿富汗5日恐怖袭击",紧急情况,恐怖袭击
3160,一枚汽车炸弹阿富汗首都喀布尔爆炸,紧急情况,爆炸
3161,150人受伤,状态变化,受伤
3162,与此同时阿富汗南方坎大哈参加阿富汗过渡政府总统卡尔扎伊,状态变化,参加
3163,卡尔扎伊逃过,状态变化,逃过
3164,本年度恐怖袭击伊拉克,紧急情况,恐怖袭击
3165,2月28日希拉市炸弹袭击,紧急情况,炸弹袭击
3166,造成125名平民死亡,状态变化,死亡
3167,200人受伤,状态变化,受伤
3168,巴基斯坦电视台19日报道,声明,报道
3169,当天凌晨卡拉奇爆炸,紧急情况,爆炸
3170,造成至少110人死亡,状态变化,死亡
3171,贝・布托乘坐的卡车附近两次爆炸,紧急情况,两次爆炸
3172,内政部长谢尔帕奥表示,声明,表示
3173,据医院方面证实,声明,证实
3174,至少有110人死亡,状态变化,死亡
3175,另有200多人受伤,状态变化,受伤
3176,据巴联合通讯社报道,声明,报道
3177,由于此前曾有恐怖分子贝・布托袭击,操作,袭击
3178,当局18日卡拉奇部署近2万名安全人员,操作,部署
3179,贝・布托18日下午抵达卡拉奇,移动,抵达
3180,受到成千上万的人民党支持者欢迎,动作,欢迎
3181,巴政府贝・布托提供一辆防弹汽车,动作,提供
3182,贝・布托讲话,声明,讲话
3183,贝・布托取消该计划,状态变化,取消
3184,巴总统穆沙拉夫和总理阿齐兹谴责,动作,谴责
3185,当地时间7月11日傍晚印度西部城市孟买爆炸,紧急情况,爆炸
3186,已经造成了至少200人死亡,状态变化,死亡
3187,连环爆炸傍晚运输高峰时段西线城铁,紧急情况,连环爆炸
3188,印度政府宣布,声明,宣布
3189,2005年5月9日体育场爆炸,紧急情况,爆炸
3190,造成30余人死亡,状态变化,死亡
3191,俄罗斯总统驻南部联邦区全权代表雅科夫列夫10日宣布,声明,宣布
3192,参与车臣首府格罗兹尼狄纳莫体育场恐怖爆炸案的两名嫌疑人抓获,操作,抓获
3193,据俄媒体报道,声明,报道
3194,雅科夫列夫说,声明,说
3195,俄副总检察长弗里金斯基10日证实,声明,证实
3196,被拘押的这两人实施狄纳莫体育场爆炸案,操作,实施
3197,车臣首府格罗兹尼的狄纳莫体育场5月9日爆炸,紧急情况,爆炸
3198,炸死卡德罗夫伊萨耶夫7人,状态变化,炸死
3199,爆炸物安置主席台下,操作,安置
3200,车臣有关部门狄纳莫体育场的主席台看台维修,操作,维修
3201,工程5月8日结束,状态变化,结束
3202,5月29日俄警方臣乌鲁斯马尔坦区抓获建筑工人,操作,抓获
3203,新华社联合国3月2日电,声明,电
3204,联合国安理会2日媒体声明,声明,声明
3205,1日中国昆明火车站恐怖袭击,紧急情况,恐怖袭击
3206,将恐怖袭击实施者、组织者、资助者和支持者绳之以法,操作,绳之以法
3207,"安理会受害者及其家人,以及中国人民和政府同情",感知,同情
3208,巴西当地媒体4月8日报道,声明,报道
3209,巴西联邦监狱系统日前发现,感知,发现
3210,一起犯罪分子炸毁桥梁,动作,炸毁
3211,巴西联邦监狱系统去年9月犯罪集团“首都第一司令部”服刑人员监听,动作,监听
3212,两名犯人讨论,声明,讨论
3213,炸毁蒂巴和圣保罗两座城市间116号国道上一座桥梁,动作,炸毁
3214,并将监听内容汇报巴西司法部,声明,汇报
3215,司法部通知库里蒂巴所在的帕拉纳州公共安全和司法局,声明,通知
3216,巴西联邦监狱系统强调,声明,强调
3217,任何在监狱中非正常行为他们监控,动作,监控
3218,帕拉纳州警方做好准备,状态变化,做好
3219,世界杯库里蒂巴举行,操作,举行
3220,11月17日网友称,声明,称
3221,今日中午上海亭枫公路3168号的顶新箱包公司70多名员工食物中毒,紧急情况,食物中毒
3222,其中1人生命危险,状态变化,生命危险
3223,新民网记者前往金山中心医院,移动,前往
3224,今日中午70多位员工吃盒饭,动作,吃
3225,下午3时左右有人出现症状,状态变化,出现
3226,被送往金山朱泾地段医院,移动,送往
3227,因有42名员工转入金山中心医院,移动,转入
3228,顶新箱包公司员工目前治疗,操作,治疗
3229,发生多人食物中毒,紧急情况,食物中毒
3230,顶新箱包公司负责人表示,声明,表示
3231,17日下午石家庄市卓达服装城一工厂20余名工人出现食物中毒症状,状态变化,出现
3232,他们进食半熟的炒豆角,动作,进食
3233,卫生部门介入调查,操作,介入调查
3234,17日21时许河北朝仁医院急诊科十几名年青男女打吊瓶,动作,打吊瓶
3235,另两间治疗室内有患者,声明,有
3236,一男子床位旁安放重症监护仪,声明,安放
3237,目前男主人身体好转,状态变化,好转
3238,仍在医院治疗观察,操作,治疗观察
3239,2月14日当日下午4时许肇庆市四会益群街17号出租楼楼下气氛紧张,状态变化,紧张
3240,在将出租屋封锁了一段时间后几名民警里面抬出两具用白色棉被包裹的尸体,动作,抬出
3241,昨日记者赶到现场,移动,赶到
3242,事故中女孩父亲送往医院,动作,送往
3243,至于事故原因家属食物中毒,紧急情况,食物中毒
3244,9月19日上午甘肃省武威市第一幼儿园部分儿童出现症状,状态变化,出现
3245,经当地卫生部门诊断,操作,诊断
3246,截至20日上午11时100多名儿童医院检查,操作,检查
3247,其中59名儿童确诊,动作,确诊
3248,19日上午武威市第一幼儿园个别儿童出现症状,状态变化,出现
3249,幼儿园凉州区卫生局汇报,操作,汇报
3250,之后幼儿园通知家长,声明,通知
3251,孩子出现症状,状态变化,出现
3252,立即带孩子武威市人民医院儿科检查治疗,操作,检查治疗
3253,武威市人民医院启动突发事件紧急预案,操作,启动
3254,对这次大型的突发公共卫生事件救治工作垫资所有前来检查治疗的儿童,动作,垫资
3255,有百余名儿童医院观察治疗,操作,观察治疗
3256,之后来检查的部分孩子转院凉州区人民医院,移动,转院
3257,59名儿童中毒,紧急情况,中毒
3258,正在医院治疗,操作,治疗
3259,据凉州区卫生局介绍,动作,介绍
3260,发生中毒事件的幼儿园所有餐具封存,操作,封存
3261,并移交武威市疾控中心,移动,移交
3262,东方网11月12日信息,声明,信息
3263,昨日中午11时45分左右荆州市公安县甘家厂乡食物中毒,紧急情况,食物中毒
3264,一废品收购站8名工人吃午饭,动作,吃
3265,出现食物中毒,状态变化,出现
3266,另6人送住医院,移动,送住
3267,省委书记、省长罗清泉指示,声明,指示
3268,全力抢救中毒人员,操作,抢救
3269,省政府副秘书长周贤启赶赴现场,移动,赶赴
3270,目前当地政府启动应急预案,操作,启动
3271,成立4个小组,操作,成立
3272,处理善后工作,操作,处理
3273,记者昨晚10时发稿,动作,发稿
3274,两名中毒者抢救,操作,抢救
3275,南方都市报2月21日信息,声明,信息
3276,前日下午湛江市徐闻县下桥镇糖厂小学食物中毒,紧急情况,食物中毒
3277,共有45名学生送到医院,移动,送到
3278,至目前止食物中毒21名,紧急情况,食物中毒
3279,另24名入院学生紧张,感知,紧张
3280,学生食用不洁食物,动作,食用
3281,2月19日11时许住校学生饭堂里吃中午饭,动作,吃
3282,部分学生出现中毒症状,状态变化,出现
3283,下午3时许21名学生出现不适症状,状态变化,出现
3284,并被紧急送到下桥镇卫生院,移动,送到
3285,随后送往徐闻县人民医院,移动,送往
3286,据六年级学生宋文忠说,声明,说
3287,他中午吃学校饭堂里的饭菜,动作,吃
3288,出现肚子疼痛,状态变化,出现
3289,在旁边的两名女生点头,动作,点头
3290,他们吃中午饭,动作,吃
3291,在医院治疗的学生表示,声明,表示
3292,他们中午吃饭时吃一种名叫雪豆的蔬菜,动作,吃
3293,当晚8点医生称,声明,称
3294,21名学生抢救,操作,抢救
3295,除了其中两名呕吐,动作,呕吐
3296,徐闻县公安卫生调查,操作,调查
3297,有关部门调查,操作,调查
3298,学生们吃不洁雪豆,动作,吃
3299,昨天下午三四时深圳龙岗区平湖街道一家港资厂员工食物中毒,紧急情况,食物中毒
3300,知情人士透露中毒人数,声明,透露
3301,平湖街道办统计中毒人数,操作,统计
3302,目前大部分员工治愈,状态变化,治愈
3303,仍有部分员工医院治疗,操作,治疗
3304,事发的工厂是港资厂,声明,是
3305,主要生产相框,声明,生产
3306,昨天下午三四时许数百工人出现症状,状态变化,出现
3307,该工厂的负责人组织车辆,操作,组织
3308,将出现症状的员工送往平湖人民医院、山厦医院、深联医院、横岗人民医院、沙湾医院急诊科,移动,送往
3309,新华网新加坡4月6日电,声明,电
3310,据新加坡媒体报道,声明,报道
3311,新加坡百余人日前食物中毒,紧急情况,食物中毒
3312,其中一名马来族妇女6日死亡,状态变化,死亡
3313,这些人3日新加坡一家临时摊位食用罗惹,动作,食用
3314,发生食物中毒症状,状态变化,发生
3315,目前29人医院观察治疗,操作,观察治疗
3316,新华网深圳1月10日电,声明,电
3317,深圳市南山美都足浴城50多名女技师9日午饭后出现中毒现象,状态变化,出现
3318,被紧急送往医院,移动,送往
3319,这50多名女工9日食用问题四季豆,动作,食用
3320,被及时送到深圳市南山蛇口人民医院,移动,送到
3321,医院调集骨干人员,操作,调集
3322,对中毒女工治疗,操作,治疗
3323,27日河源市连平县上坪镇第二中学疑似食物中毒,紧急情况,疑似食物中毒
3324,该校55名学生学校用早餐,动作,用
3325,据当地政府有关负责人介绍,声明,介绍
3326,昨日上午连平县上坪二中55名学生进食一盘红萝卜鸡蛋炒粉丝,动作,进食
3327,昨天下午3时10分左右这批学生出现现象,状态变化,出现
3328,立即将55名疑似食物中毒的学生送到当地医院,移动,送到
3329,经过医院医生治疗,操作,治疗
3330,昨晚部分学生出院,操作,出院
3331,昨晚8时35分记者发稿,动作,发稿
3332,20多名学生医院观察救治,操作,观察救治
3333,昨晚8时30分连平县政府该县上坪镇召开会议,操作,召开
3334,由于该校学生进食变质食物,动作,进食
3335,昨晚当地卫生监督所疾控中心提取相关样本,操作,提取
3336,沈阳晚报沈阳网讯,声明,讯
3337,2014年的第一天辽宁女篮终结山西女篮12连胜,动作,终结
3338,送对手赛季首败,动作,送
3339,山西女篮大部分球员赛前食物中毒,紧急情况,食物中毒
3340,这也影响她们,动作,影响
3341,辽宁与山西的比赛计划本周二,动作,计划
3342,赛前出现突发状况,状态变化,出现
3343,山西女篮大部分成员食物中毒,紧急情况,食物中毒
3344,其他队员出现症状,状态变化,出现
3345,前往医院治疗,操作,治疗
3346,昨天沈阳晚报、沈阳网记者辽宁省篮协一位官员了解,动作,了解
3347,本网最新消息,声明,最新消息
3348,叶县廉村镇实验学校学生返校,移动,返校
3349,公安机关介入调查,操作,介入调查
3350,下午14时20分叶县当地政府部门称,声明,称
3351,3月18日上午9时叶县廉村镇实验学校几名学生出现食物中毒反应,状态变化,出现
3352,经县派专家组诊断,操作,诊断
3353,这几名学生食用不洁食物,动作,食用
3354,3月18日215人医院就诊,操作,就诊
3355,截止3月19日12时专家组相关学生体检,操作,体检
3356,该校恢复上课,状态变化,恢复
3357,平顶山市叶县党委政府重视,动作,重视
3358,立即成立工作小组,操作,成立
3359,马来西亚槟城监狱超过644名囚犯上周五吃了狱方食物,动作,吃了
3360,马来西亚有史以来最多人食物中毒,紧急情况,食物中毒
3361,马国卫生部表示,声明,表示
3362,截至昨天50人痊愈,状态变化,痊愈
3363,卫生部主管公共卫生的副总监鲁门昨天说,声明,说
3364,上周五槟城监狱食物中毒,紧急情况,食物中毒
3365,造成644名囚犯腹泻,动作,腹泻
3366,截至前天上午8时594名病患痊愈,状态变化,痊愈
3367,当局调查发现,动作,发现
3368,事发当天上午狱方提供大宝森节特餐辣椒鸡饭出现问题,状态变化,出现
3369,当天的食物四名厨师29名囚犯负责,动作,负责
3370,厨具食物样本化验,操作,化验
3371,结果五天后出炉,状态变化,出炉
3372,长城网衡水3月11日电,声明,电
3373,3月10日下午一点半左右衡水交警直属一大队邓庄中队班长张春生民警大广高速滏阳出口执行,动作,执行
3374,突然一辆黑色轿车紧急刹车停,移动,停
3375,一名中年男子跑,移动,跑
3376,拉住张春生的手,移动,拉住
3377,张春生看到老人孩子,感知,看到
3378,张春生安排用警车开道医院,动作,安排
3379,一面用对讲机沿途各岗联系,动作,联系
3380,请求提前疏通道路,操作,疏通
3381,患者到达哈励逊国际和平医院,状态变化,到达
3382,张春生发动警车,动作,发动
3383,带着这一家人赶到衡水市毒物检测中心,移动,赶到
3384,通过检测他们“硝”中毒,紧急情况,“硝”中毒
3385,知道中毒原因后医院治疗,操作,治疗
3386,半个小时后祖孙俩脱离,状态变化,脱离
3387,医生告诉中年男子,动作,告诉
3388,双膝跪两位交警,移动,跪
3389,忙把中年男子拉起身来,动作,拉起身来
3390,新华网3月21日电,声明,电
3391,截至21日上午鸡西市3所小学21名学生出现疑似食物中毒症状,状态变化,出现
3392,这21名学生食用盒饭,动作,食用
3393,于20日下午出现症状,状态变化,出现
3394,经过医院诊治,操作,诊治
3395,现已经全部返回家中,移动,返回
3396,鸡西市卫生行政部门成立医疗救治组卫生监督组流行病学调查组,操作,成立
3397,并对患者的呕吐物化验,操作,化验
3398,同时要求各医疗机构发现患者,感知,发现
3399,目前送餐企业停业整顿,状态变化,停业整顿
3400,具体发病原因调查,操作,调查
3401,2002年12月5日上午江苏镇江丹阳市皇塘镇吴塘初级中学食物中毒,紧急情况,食物中毒
3402,近百名学生吃学校食堂的早餐,动作,吃
3403,其中4名严重者抽搐,动作,抽搐
3404,吴塘中学分开,动作,分开
3405,发生中毒事件吴塘初级中学,紧急情况,发生
3406,当日上午寄宿生们学校食堂就餐,动作,就餐
3407,食堂提供早餐,声明,提供
3408,学生们吃早餐,动作,吃
3409,陆续出现症状,状态变化,出现
3410,学校老师他们送到附近的皇塘卫生院,移动,送到
3411,到8时30分左右近百名学生送到医院,移动,送到
3412,其中有三女一男抽搐,动作,抽搐
3413,被急送丹阳人民医院,移动,急送
3414,据吴塘初级中学办公室主任江涛介绍,声明,介绍
3415,有近百名学生中毒,紧急情况,中毒
3416,警方早餐的食物取样,操作,取样
3417,承包人警方带走,动作,带走
3418,中新网10月19日电,声明,电
3419,据外媒19日报道,声明,报道
3420,近日印度北部中毒事件,紧急情况,中毒事件
3421,目前32人丧生,紧急情况,丧生
3422,另有50人感到,感知,感到
3423,印度一名警官说,声明,说
3424,这起事件发生周四(17日)北方邦阿桑加尔地区一处山村,动作,发生
3425,数十村民饮用一处商店买来的自酿酒,动作,饮用
3426,被送往当地医院,移动,送往
3427,截止目前32人身亡,紧急情况,身亡
3428,目前50人医院内接受治疗,操作,接受治疗
3429,当局此事调查,操作,调查
3430,并将8名政府官员4名警察停职,状态变化,停职
3431,印度近年来假酒中毒事件,紧急情况,假酒中毒事件
3432,没有取得酿酒执照的非法商家添加化学物质,动作,添加
3433,西安晚报信息,声明,信息
3434,9月25日中午丹凤县武关中学食物中毒,紧急情况,食物中毒
3435,54名学生用餐,动作,用餐
3436,其中一半学生出现症状,状态变化,出现
3437,当天恰逢中秋节武关中学学生食堂改善伙食,动作,改善伙食
3438,"午餐向学生提供炒豆角和土豆炒肉片,主食是米饭",操作,提供
3439,有54人不适,状态变化,不适
3440,27人出现症状,状态变化,出现
3441,将呕吐学生送往县医院,移动,送往
3442,其余学生送往镇卫生院,移动,送往
3443,丹凤县委、县政府主要领导闻讯,感知,闻讯
3444,并紧急召集卫生、药监、教育、公安,操作,召集
3445,初步确定豆角未炒熟,声明,确定
3446,中毒学生昨日下午出院,操作,出院
3447,东南网3月13日讯,声明,讯
3448,据台湾媒体报道,声明,报道
3449,台中市梧栖中学21名学生昨天吃完午餐,动作,吃完
3450,下午3时许出现腹痛,状态变化,出现
3451,少部分学生发烧,状态变化,发烧
3452,紧急送童综合医院急诊治疗,操作,急诊治疗
3453,梧栖中学教务主任表示,声明,表示
3454,学生吃完午餐后反映,声明,反映
3455,出现恶心、腹痛及发烧,状态变化,出现
3456,台中卫生局食品药物管理科长邱惠慈指出,声明,指出
3457,卫生局接获通报后派人梧栖中学,动作,派
3458,要求供应营养午餐的餐盒厂,动作,要求
3459,梧栖中学学生昨天中午吃了沙茶拌面、肉排、菜头豆轮、酱香肉丸、蔬菜及冬菜粉丝汤,动作,吃了
3460,2008年7月5日巍山县大仓镇甸中村委会一村民家中食物中毒,紧急情况,食物中毒
3461,有286人中毒,紧急情况,中毒
3462,巍山县委政府相关部门重视,动作,重视
3463,286名中毒者7月11日治愈,状态变化,治愈
3464,疾控工作人员村民们讲解,声明,讲解
3465,新华网9月8日信息,声明,信息
3466,澳门特区政府卫生局疾病预防及控制中心8日表示,声明,表示
3467,目前累计有141人本地自助餐厅进食,动作,进食
3468,出现食物中毒症状,状态变化,出现
3469,卫生局3日说,声明,说
3470,有14名来自三个群体的港澳人士8月27日至30日期间澳门金沙酒店用餐,动作,用餐
3471,患者出现症状,状态变化,出现
3472,8月23日中午百余名东街村村民参加婚宴,操作,参加婚宴
3473,后出现不适症状,状态变化,出现
3474,多名轻微食物中毒者河南卢氏人民医院内科病房诊治,操作,诊治
3475,截止8月24日早7时医院检查194人,操作,检查
3476,留门诊观察91名村民,操作,观察
3477,已有66人解除症状,状态变化,解除
3478,卢氏县组织卫生工商食监质监动检公安,操作,组织
3479,对该县食品经营单位检查,操作,检查
3480,经三门峡市卢氏县警方调查,操作,调查
3481,目前事件原因调查,操作,调查
3482,长江商报消息,声明,消息
3483,两名女孩抢救,操作,抢救
3484,新华社电记者云南省文山壮族苗族自治州丘北县委宣传部获悉,动作,获悉
3485,19日32名学生疑似食物中毒,紧急情况,疑似食物中毒
3486,目前2人抢救,操作,抢救
3487,其余5人救治,操作,救治
3488,中毒原因调查,操作,调查
3489,京华时报8月27日信息,状态变化,信息
3490,昨天上午北京市海淀区人大附中内一工地部分工人食用扁豆,动作,食用
3491,先后出现症状,状态变化,出现
3492,40多名工人送往海淀医院四季青医院,移动,送往
3493,目前海淀区卫生局调查,操作,调查
3494,当天下午海淀医院收治37名工人,操作,收治
3495,另有10名工人送往四季青医院,移动,送往
3496,海淀医院医生表示,声明,表示
3497,下午3点工作人员赶到海淀医院,移动,赶到
3498,一名江苏籍的工人接受询问,操作,接受询问
3499,当天上午11点左右他们工地吃饭,动作,吃饭
3500,在医院看护的民警说,声明,说
3501,10多名工人出现症状,状态变化,出现
3502,下午2点左右部分工人出现情况,状态变化,出现
3503,工人们的病情控制,操作,控制
3504,海淀区卫生局预警,声明,预警
3505,据新华网4月1日信息,声明,信息
3506,据内蒙古自治区宁城县人民政府4月1日介绍,声明,介绍
3507,3月30日下午宁城县甸子镇黑城村73人食物中毒,紧急情况,食物中毒
3508,目前71人出院,操作,出院
3509,3月30日中午宁城县甸子镇黑城村四组一户农民家中办丧宴,操作,办丧宴
3510,73人出现食物中毒症状,状态变化,出现
3511,经当地医院治疗,操作,治疗
3512,"事件发生后,宁城县委、县政府、公安局、卫生局、医院等部门采取有效措施",动作,采取
3513,迅速展开抢救病人,操作,抢救
3514,已有71人出院,操作,出院
3515,住院2人4月2日出院,操作,出院
3516,新京报9月7日信息,声明,信息
3517,昨日下午北京市昌平区回龙观镇西半壁店村一幼儿园近50名儿童3名老师中毒,紧急情况,中毒
3518,昌平区政府教委卫生局公安救助患者,操作,救助
3519,并将该校负责人厨师控制,操作,控制
3520,目前事件调查,操作,调查
3521,8月27日该校开学,操作,开学
3522,100多名学生返校,移动,返校
3523,大部分孩子学校吃午饭晚饭,动作,吃
3524,两顿厨师制作,操作,制作
3525,昨日下午2时许8名孩子睡午觉,动作,睡午觉
3526,陆续产生症状,状态变化,产生
3527,随后更多人出现不适,状态变化,出现
3528,校方联系医院,操作,联系
3529,昨日下午4时许近50名学生接到沙河医院,动作,接到
3530,另有数十名孩子留在幼儿园内,动作,留在
3531,接受赶来的医生检查,操作,检查
3532,还有3名老师呕吐,动作,呕吐
